# OptiScaler.ini 注释汉化词典 C（枚举列表 / 代码示例）
0 = Default | 1 = A | 2 = B | 3 = C | 4 = D | 5 = E	0 = 默认 | 1 = A | 2 = B | 3 = C | 4 = D | 5 = E
0 = Default | 1 = A | 2 = B | 3 = C | 4 = D | 5 = E | 6 = F | 7 = G	0 = 默认 | 1 = A | 2 = B | 3 = C | 4 = D | 5 = E | 6 = F | 7 = G
0 = FSR 4.0.0 | 1 = FSR 3.1.6
0 = FSR 4.0.2 | 1 = FSR 3.1.5 | 2 = FSR 2.3.4
0 = FSR1 | 1 = Bicubic | 2 = Catmull-Rom | 3 = Lanczos2 | 4 = Lanczos3 | 5 = Kaiser2 | 6 = Kaiser3 | 7 = MAGIC
0 = For FSR Native AA, 1 = Ultra Quality/Quality, 2 = Balanced, 3 = Performance, 4 = DRS, 5 = Ultra Performance	0 = FSR 原生 AA，1 = 超级质量/质量，2 = 均衡，3 = 性能，4 = DRS，5 = 超级性能
0 = Just FPS | 1 = Simple | 2 = Detailed | 3 = Detailed + Graph | 4 Full | 5 Full + Graph | 6 Reflex timings	0 = 仅 FPS | 1 = 简洁 | 2 = 详细 | 3 = 详细 + 曲线 | 4 = 完整 | 5 = 完整 + 曲线 | 6 = Reflex 计时
0 = KPSS | 1 = Splat | 2 = Model 3 | 3 = Model 4 | 4 = Model 5 | 5 = Model 6	0 = KPSS | 1 = Splat | 2 = 模型 3 | 3 = 模型 4 | 4 = 模型 5 | 5 = 模型 6
0 = No override | 1 = FP8 | 2 = INT8	0 = 不覆盖 | 1 = FP8 | 2 = INT8
0 = Top Left | 1 = Top Right | 2 = Bottom Left | 3 Bottom Right	0 = 左上 | 1 = 右上 | 2 = 左下 | 3 = 右下
0 = Trace / 1 = Debug / 2 = Info / 3 = Warning / 4 = Error
0 = conservative	0 = 保守
0x10de = Nvidia | 0x8086 = Intel | 0x1002 = AMD
0x2684 = 4090 | 0xE20B = B580 | 0x7550 9070 XT
1 = 2X | 2 = 3X | 3 = 4X
1 = 2X | 2 = 3X | 3 = 4X | 4 = 5X | 5 = 6X
1 = aggressive, will improve latency but in some cases will lower fps more than expected	1 = 激进，可改善延迟，但某些情况下帧数下降幅度会超出预期
2 = use reflex frame ids, some games are not compatible (i.e. cyberpunk) and will fallback to aggressive	2 = 使用 Reflex 帧 ID，部分游戏不兼容（如《赛博朋克》），将回退为激进模式
8 = H | 9 = I | 10 = J | 11 = K | 12 = L | 13 = M | 14 = N | 15 = O
D3D12_RESOURCE_STATE_COMMON = 0,
D3D12_RESOURCE_STATE_DEPTH_READ = 32,
D3D12_RESOURCE_STATE_DEPTH_WRITE = 16,
D3D12_RESOURCE_STATE_INDEX_BUFFER = 2,
D3D12_RESOURCE_STATE_NON_PIXEL_SHADER_RESOURCE = 64,
D3D12_RESOURCE_STATE_PIXEL_SHADER_RESOURCE = 128,
D3D12_RESOURCE_STATE_RENDER_TARGET = 4,
D3D12_RESOURCE_STATE_UNORDERED_ACCESS = 8,
D3D12_RESOURCE_STATE_VERTEX_AND_CONSTANT_BUFFER = 1,
Example: TargetProcessName=endfield.exe	示例：TargetProcessName=endfield.exe
For example to use Nukems in a game that only has upscaling: FGInput=upscaler, FGOutput=dlssg, FGNvngxReplacement=Nukems	例如，要在仅有超分的游戏中使用 Nukems：FGInput=upscaler, FGOutput=dlssg, FGNvngxReplacement=Nukems
For reference https://github.com/artur-graniszewski/dlss-enabler-main/blob/a92464d468eb0d91ae17befa66c6bf6229f20b9f/Utils/DlssgProxy.cpp#L1033
If you want to use e.g. VK_BACK/Backspace key, that would be 0x08 - set ShortcutKey=0x08	例如要使用 VK_BACK/Backspace 键，其值为 0x08 - 设置 ShortcutKey=0x08
Nvngx FG is the lower level DLSSG provider. FGInput=NvngxFG or FGOutput=DLSSG need to be used for this setting to do anything	Nvngx FG 是更底层的 DLSSG 提供方。需要设置 FGInput=NvngxFG 或 FGOutput=DLSSG，此项才会生效
Path to a font to be used as HQ Font, requires UseHQFont=true	用作高质量字体的字体路径，需要 UseHQFont=true
To use Arturs in a game that already supports DLSSG: FGInput=nvngxfg, FGOutput=auto, FGNvngxReplacement=Arturs	要在已支持 DLSSG 的游戏中使用 Arturs：FGInput=nvngxfg, FGOutput=auto, FGNvngxReplacement=Arturs
safetyMarginInMs==0.01ms and varianceFactor==0.3.
safetyMarginInMs==0.1ms and varianceFactor==0.1.
safetyMarginInMs==0.75ms, and varianceFactor==0.1.
